지점번호,경도(degree),위도(degree),노장해발고도(m),지점명(한글),예보구역코드,법정동코드
90,128.56472,38.25085,18.06,속초,11D20401,4282033035
92,128.6667,38.0667,75.4,양양(공),11D20400,4283032021
95,127.3042,38.14788,153.7,철원,11D10101,4278025624
96,131.86983,37.23952,96.15,독도,11E00102,4794025027
98,127.06069,37.90186,109.06,동두천,11B20401,4125010300
99,126.76649,37.88588,29.42,파주,11B20305,4148025025
100,128.71833,37.67713,772.57,대관령,11D20201,4276037025
101,127.7357,37.90256,77.71,춘천,11D10301,4211011800
102,124.63046,37.96611,144.86,백령,11A00101,2872033024
104,128.8554,37.8046,78.9,북강릉,11D20501,4215036027
105,128.89098,37.75147,26.04,강릉,11D20501,4215010700
106,129.12433,37.50708,39.91,동해,11D20601,4217010400
108,126.96579,37.57141,85.8,서울,11B10101,1111017800
110,126.7756,37.5683,11.38,김포(공),11B10100,1150010800
112,126.6249,37.4777,71.43,인천,11B20201,2811013700
113,126.4392,37.4625,7.1,인천(공),11B20200,2811014700
114,127.9466,37.3376,148.6,원주,11D10401,4213010600
115,130.89864,37.48129,222.8,울릉도,11E00101,4794025024
116,126.96401,37.44525,622.38,관악(레),11B10100,4129010700
119,126.9853,37.2723,34.06,수원,11B20601,4111310800
121,128.45743,37.18126,240.6,영월,11D10501,4275025022
127,127.95266,36.97038,115.12,충주,11C10101,4313012200
129,126.49391,36.77661,28.91,서산,11C20101,4421010600
130,129.41278,36.99176,50,울진,11H10101,4793025023
131,127.44066,36.63924,57.16,청주,11C10301,4311311400
133,127.37212,36.372,68.94,대전,11C20401,3020012400
135,127.99457,36.22023,244.73,추풍령,11C10401,4374033521
136,128.70732,36.57293,140.1,안동,11H10501,4717012900
137,128.15743,36.40838,96.17,상주,11H10302,4725011000
138,129.37963,36.03259,2.28,포항,11H10201,4711110400
140,126.76135,36.0053,23.2,군산,21F10501,4513013800
143,128.6522,35.8782,49,대구,11H10700,2714010300
146,127.1172,35.8408,61.4,전주,11F10201,4511310600
151,129.3522222,35.59333333,12.6,울산(공),11H20100,3120012600
152,129.3344,35.5826,82,울산,11H20101,3111011400
155,128.57285,35.1702,37.15,창원,11H20301,4812552000
156,126.89158,35.17294,72.38,광주,11F20501,2917010900
159,129.03203,35.10468,69.56,부산,11H20201,2611011600
160,128.99996,35.11881,518.46,부산(레),11H20200,2614010600
162,128.4356,34.84546,32.67,통영,11H20401,4822010900
163,126.3830556,34.99138888,10.9,무안(공),21F20800,4684035023
165,126.38121,34.81689,38,목포,21F20801,4611010300
167,127.6125,34.84666667,17.9,여수(공),11F20400,4613032028
168,127.74064,34.73929,64.64,여수,11F20401,4613010500
169,125.45103,34.68719,76.49,흑산도,11F20701,4691036022
170,126.70184,34.39587,35.24,완도,11F20301,4689031022
172,126.599,35.3489,52,고창,21F10601,4579038025
174,127.3694,35.0204,165,순천,11F20600,4615025025
175,126.32379,34.47212,476.47,진도(첨찰산),21F20201,4690033021
177,126.68766,36.65745,20,홍성(예),11C20104,4480031025
182,126.5,33.51666667,26.5,제주(공),11G00200,4911010900
184,126.52968,33.51411,20.45,제주,11G00201,4911010700
185,126.16283,33.29382,74.29,고산,11G00501,4971031023
188,126.88021,33.38678,17.75,성산,11G00101,4972025927
189,126.56534,33.24613,48.96,서귀포,11G00401,4913010100
192,128.04002,35.16379,30.21,진주,11H20701,4817012600
201,126.44634,37.70739,47.01,강화,11B20101,2871032027
202,127.49447,37.48857,47.98,양평,11B20503,4183025021
203,127.4842,37.26398,78.01,이천,11B20701,4150025328
211,128.16713,38.05987,200.16,인제,11D10201,4281025022
212,127.88042,37.6836,140.92,홍천,11D10302,4272025029
216,128.98928,37.17031,712.82,태백,11D20301,4219010100
217,128.6461,37.3813,307.4,정선군,11D10502,4277025022
221,128.19431,37.15927,263.61,제천,11C10201,4315011200
226,127.73412,36.48759,174.99,보은,11C10302,4372025030
229,125.55951,36.62542,103.56,격렬,11C20100,4482533029
232,127.2927,36.7624,81.5,천안,11C20301,4413037022
235,126.55741,36.32721,15.49,보령,11C20201,4418010900
236,126.92081,36.27236,11.33,부여,11C20501,4476025033
238,127.48175,36.10562,170.35,금산,11C20601,4471025025
243,126.71655,35.72954,11.96,부안,21F10602,4580033021
244,127.28556,35.61227,247.87,임실,11F10402,4575025022
245,126.86611,35.56317,44.58,정읍,11F10203,4518010300
247,127.3967,35.4023,127.48,남원,11F10401,4519011600
248,127.52029,35.65695,406.49,장수,11F10301,4574025023
251,126.697,35.4266,54,고창군,21F10601,4579025030
252,126.47779,35.283671,37.2,영광군,21F20102,4687034030
253,128.89301,35.22666,59.34,김해시,11H20300,4825010300
254,127.1286,35.3714,127,순창군,11F10403,4577025026
255,128.6275,35.2264,46.77,북창원,11H20301,4811012100
257,129.02,35.3072,14.85,양산시,11H20102,4833031027
258,127.2123,34.7633,2.8,보성군,11F20404,4678038023
259,126.7689,34.6261,12.5,강진군,11F20303,4681025027
260,126.91949,34.68875,45.02,장흥,11F20304,4680025043
261,126.56897,34.55359,13.01,해남,11F20302,4682025034
262,127.27571,34.61824,53.12,고흥,11F20403,4677025029
263,128.2881,35.3226,14.18,의령군,11H20600,4872025024
264,127.7454,35.5114,151.2,함양군,11H20502,4887025022
266,127.691,34.943,80.9,광양시,11F20402,4623010600
